tuoi,chieu_cao,so_tran,ban_thang,kien_tao,so_phut_tren_ban,so_phut,danh_hieu,Centre_Forward,Central_Midfield,Left_Winger,Attacking_Midfield,Right_Winger,Defensive_Midfield,Second_Striker,Centre_Back,Right_Back,Left_Back ,Goalkeeper,Right_Midfield,Left_Midfield,value_club,value
26,1.89,40,3,9,997,2991,5,0,1,0,0,0,0,0,0,0,0,0,0,0,376,50
25,1.86,45,2,5,1690,3380,1,0,0,0,0,0,0,0,0,1,0,0,0,0,890,50
24,1.96,46,48,14,86,4140,6,0,0,0,0,0,0,0,0,0,0,1,0,0,882.55,50
27,1.84,11,1,1,832,832,6,0,0,0,0,0,0,0,1,0,0,0,0,0,979.7,50
27,1.85,35,21,5,146,3063,5,1,0,0,0,0,0,0,0,0,0,0,0,0,318.6,50
30,1.65,36,0,1,0,2805,6,0,1,0,0,0,0,0,0,0,0,0,0,0,882.55,50
30,1.8,37,2,3,1410,2821,6,0,0,0,0,0,0,0,1,0,0,0,0,0,860.8,50
31,1.85,50,6,7,626,3755,6,0,0,0,0,0,1,0,0,0,0,0,0,0,795.7,50
29,1.78,43,0,11,0,3329,6,0,0,0,0,0,0,0,0,0,1,0,0,0,879,48
24,1.83,40,2,2,1448,2895,3,0,1,0,0,0,0,0,0,0,0,0,0,0,398.7,45
25,1.8,41,5,6,593,2966,1,0,0,0,1,0,0,0,0,0,0,0,0,0,451.5,45
26,1.91,36,1,0,3079,3079,1,0,0,0,0,0,0,0,1,0,0,0,0,0,278.2,45
23,1.95,43,0,0,0,3623,5,0,0,0,0,0,0,0,1,0,0,0,0,0,494.3,45
23,1.86,40,30,19,120,3600,6,0,0,0,0,0,0,0,0,0,0,1,0,0,279.3,45
25,1.94,51,9,7,343,3083,5,1,0,0,0,0,0,0,0,0,0,0,0,0,317.15,45
25,1.85,43,1,0,3622,3622,3,0,0,0,0,0,0,0,1,0,0,0,0,0,547.25,45
29,1.88,46,38,18,108,4095,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1050,45
29,1.88,48,0,1,0,3482,6,0,0,0,0,0,1,0,0,0,0,0,0,0,879,45
31,1.74,38,12,6,184,2204,6,0,0,0,0,0,0,0,0,0,0,0,0,0,979.7,45
27,1.85,44,5,7,779,3893,5,0,1,0,0,0,0,0,0,0,0,0,0,0,680.3,45
31,1.93,41,3,1,1215,3645,6,0,0,0,0,0,0,0,1,0,0,0,0,0,879,45
30,1.93,47,59,17,72,4230,6,0,0,0,0,0,0,0,0,0,0,1,0,0,879,45
35,1.7,39,20,20,173,3457,6,0,0,0,0,1,0,0,0,0,0,0,0,0,882.55,45
24,1.74,38,12,3,265,3181,3,0,1,0,0,0,0,0,0,0,0,0,0,0,358.7,42
23,1.72,46,2,3,1609,3218,6,0,1,0,0,0,0,0,0,0,0,0,0,0,882.55,42
21,1.95,34,1,2,2586,2586,0,0,0,0,0,0,1,0,0,0,0,0,0,0,352.9,42
21,1.82,46,2,2,2060,4121,6,0,0,0,0,0,0,0,1,0,0,0,0,0,280.15,42
21,1.85,46,26,12,131,3409,2,1,0,0,0,0,0,0,0,0,0,0,0,0,313,40
26,1.88,42,5,1,748,3740,0,0,0,0,0,0,0,0,1,0,0,0,0,0,420.7,40
22,1.82,33,3,0,523,1570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,494.3,40
22,1.94,27,3,0,731,2193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1020,40
22,1.87,44,9,13,400,3598,6,0,0,0,1,0,0,0,0,0,0,0,0,0,487.3,40
24,1.81,41,1,4,3505,3505,1,0,0,1,0,0,1,0,0,0,0,0,0,0,376,40
23,1.91,39,4,5,759,3035,2,0,0,0,0,0,0,0,1,0,0,0,0,0,547.7,40
25,1.87,26,6,2,355,2128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,680.3,40
27,1.84,43,4,8,900,3600,1,0,1,1,0,0,0,0,0,0,0,0,0,0,629,40
25,1.75,40,3,2,911,2732,3,0,0,0,0,0,1,0,0,0,0,0,0,0,547.25,40
25,1.79,29,5,9,292,1458,6,0,0,0,1,0,0,0,0,0,0,0,0,0,487.3,40
